Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
GOR241411,Bombus pascuorum,Scrophularia alpestris,2024,16/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,LC,Female,6.17,164.76054683818032,93.62338289529774,286.802308308169
VAL250101,Bombus pascuorum,Prunella laciniata,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,4.03,63.04328058881577,35.42145811534854,110.49625758546169
VAL250102,Bombus pascuorum,Thymus sp.,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.38,42.46370501506774,23.924885969980338,75.20330650391158
VAL250103,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.5,46.04889255311776,26.160773873744553,83.03450581520417
VAL250104,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,4.17,68.64730634431652,38.678909638481436,122.58120390557896
VAL250105,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.85,57.159873070730825,32.44124277755844,100.14233963172299
VAL250106,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,4.12,66.72555378337726,37.95637903637306,117.18354195502297
VAL250107,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.91,59.48443845609324,33.20747950267401,105.46331066543203
VAL250108,Bombus pascuorum,Trifolium pratense,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.81,56.15683876757784,32.07684215029301,101.55461474035654
VAL250109,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.64,50.068578337572845,28.58784785532423,86.48151649731604
